trimestre,txa_variacao_pib,media_inadimplencia,taxa_desocupados,media_ipca
2014Q4,0.5,2.8466666666666662,6.56,0.645
2015Q1,-0.7,2.83,8.02,1.26
2015Q2,-1.3,2.966666666666667,8.41,0.7466666666666667
2015Q3,-2.2,3.09,9.0,0.45999999999999996
2015Q4,-3.5,3.33,9.06,0.93
2016Q1,-4.4,3.5,11.04,0.8666666666666667
2016Q2,-4.5,3.6300000000000003,11.42,0.58
2016Q3,-4.1,3.626666666666667,11.9,0.3466666666666667
2016Q4,-3.3,3.78,12.13,0.24666666666666667
2017Q1,-1.9,3.776666666666667,13.85,0.32
2017Q2,-0.9,3.9,13.09,0.07333333333333333
2017Q3,0.1,3.6633333333333336,12.51,0.19666666666666666
2017Q4,1.3,3.47,11.88,0.38000000000000006
2018Q1,1.7,3.3800000000000003,13.23,0.2333333333333333
2018Q2,1.9,3.22,12.55,0.6266666666666666
2018Q3,2.0,3.033333333333333,12.0,0.24
2018Q4,1.8,2.9599999999999995,11.7,0.13
2019Q1,1.5,2.9500000000000006,12.84,0.5
2019Q2,1.4,3.0066666666666664,12.13,0.23666666666666666
2019Q3,1.2,3.0533333333333332,11.89,0.08666666666666667
2019Q4,1.2,2.9899999999999998,11.08,0.5866666666666666
2020Q1,1.1,3.0733333333333337,12.37,0.17666666666666667
2020Q2,-1.7,3.14,13.58,-0.14333333333333334
2020Q3,-2.8,2.6133333333333333,14.87,0.41333333333333333
2020Q4,-3.3,2.23,14.16,1.0333333333333334
2021Q1,-2.9,2.1666666666666665,14.91,0.68
2021Q2,2.4,2.263333333333333,14.24,0.5566666666666666
2021Q3,4.3,2.3000000000000003,12.65,0.9966666666666666
2021Q4,4.8,2.2966666666666664,11.15,0.9766666666666666
2022Q1,4.7,2.5166666666666666,11.14,1.0566666666666666
2022Q2,2.7,2.68,9.31,0.7333333333333334
2022Q3,2.7,2.8166666666666664,8.69,-0.44333333333333336
2022Q4,3.0,2.9800000000000004,7.94,0.5399999999999999
2023Q1,3.8,3.2266666666666666,8.79,0.6933333333333334
2023Q2,3.8,3.5033333333333334,8.03,0.25333333333333335
2023Q3,3.3,3.4966666666666666,7.68,0.20333333333333334
2023Q4,3.2,3.356666666666667,7.41,0.36000000000000004
2024Q1,2.8,3.2399999999999998,7.92,0.47
2024Q2,2.7,3.223333333333333,6.89,0.35000000000000003
2024Q3,3.1,3.1999999999999997,6.35,0.26666666666666666
2024Q4,3.4,3.0866666666666664,6.16,0.49000000000000005
2025Q1,3.6,3.2433333333333336,7.0,0.6766666666666667
2025Q2,3.3,3.5366666666666666,5.76,0.31
2025Q3,2.7,3.876666666666667,5.57,0.21
2025Q4,2.3,4.013333333333333,5.07,0.19999999999999998
