trimestre,taxa_desocupados
2012Q1,7.99
2012Q2,7.57
2012Q3,7.12
2012Q4,6.9
2013Q1,8.04
2013Q2,7.51
2013Q3,7.01
2013Q4,6.24
2014Q1,7.22
2014Q2,6.91
2014Q3,6.84
2014Q4,6.56
2015Q1,8.02
2015Q2,8.41
2015Q3,9.0
2015Q4,9.06
2016Q1,11.04
2016Q2,11.42
2016Q3,11.9
2016Q4,12.13
2017Q1,13.85
2017Q2,13.09
2017Q3,12.51
2017Q4,11.88
2018Q1,13.23
2018Q2,12.55
2018Q3,12.0
2018Q4,11.7
2019Q1,12.84
2019Q2,12.13
2019Q3,11.89
2019Q4,11.08
2020Q1,12.37
2020Q2,13.58
2020Q3,14.87
2020Q4,14.16
2021Q1,14.91
2021Q2,14.24
2021Q3,12.65
2021Q4,11.15
2022Q1,11.14
2022Q2,9.31
2022Q3,8.69
2022Q4,7.94
2023Q1,8.79
2023Q2,8.03
2023Q3,7.68
2023Q4,7.41
2024Q1,7.92
2024Q2,6.89
2024Q3,6.35
2024Q4,6.16
2025Q1,7.0
2025Q2,5.76
2025Q3,5.57
2025Q4,5.07
